,comp_produced_prod_mean,price_produced_prod_mean,prod_sp_val_dist,output_all_prdcts,price_produced_prod_std,delta_coefficient,share_produced_products,prod_sp_val_alct,prod_space_struc,max_info
0,2.6292893740024823,164.47736985971957,"normal_[0, 1]",937.5,95.25604162377195,100,0.21,degree_centrality,powerlaw_cluster_4_0.7,0.01
1,3.1970873918765026,172.75758087099004,"normal_[0, 1]",1018.0,87.35628682487047,100,0.22,degree_centrality,powerlaw_cluster_4_0.7,0.01
2,3.646719923607253,174.1477440667635,"normal_[0, 1]",352.0,125.64158487230611,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.01
3,2.5425171191726847,166.28344963651037,"normal_[0, 1]",386.0,123.64526344269936,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.01
4,3.2233475011194423,203.20936182965218,"normal_[0, 1]",1716.0,92.8580431181645,100,0.38,degree_centrality,powerlaw_cluster_4_0.7,0.01
5,3.045211941347643,176.82705598005757,"normal_[0, 1]",921.0,101.89743063400915,100,0.2,degree_centrality,powerlaw_cluster_4_0.7,0.01
6,3.5964139357344087,217.42328126114884,"normal_[0, 1]",1099.0,106.9169638669678,100,0.24,degree_centrality,powerlaw_cluster_4_0.7,0.01
7,3.6821539924578817,185.57407819549684,"normal_[0, 1]",384.0,137.03204744177546,100,0.09,degree_centrality,powerlaw_cluster_4_0.7,0.01
8,2.7059505285555012,175.89903465918655,"normal_[0, 1]",1227.5,101.33208118138464,100,0.27,degree_centrality,powerlaw_cluster_4_0.7,0.01
9,3.216676904487737,194.1731511257454,"normal_[0, 1]",741.0,121.2772809274843,100,0.17,degree_centrality,powerlaw_cluster_4_0.7,0.01
10,3.6316625668067695,182.073498515918,"normal_[0, 1]",526.0,85.11860662306069,100,0.12,degree_centrality,powerlaw_cluster_4_0.7,0.01
11,2.4110304280924986,151.5841185803339,"normal_[0, 1]",783.0,121.16903679249424,100,0.18,degree_centrality,powerlaw_cluster_4_0.7,0.01
12,2.9728363265162763,199.34582029218797,"normal_[0, 1]",1282.5,105.18426524064148,100,0.29,degree_centrality,powerlaw_cluster_4_0.7,0.01
13,4.312555138431766,243.87142388347527,"normal_[0, 1]",314.0,128.5849035490662,100,0.08,degree_centrality,powerlaw_cluster_4_0.7,0.01
14,2.9915067930153665,178.90239924861183,"normal_[0, 1]",1158.0,126.49158597327124,100,0.25,degree_centrality,powerlaw_cluster_4_0.7,0.01
15,3.157207778409083,200.59809987339085,"normal_[0, 1]",388.5,114.81875042771719,100,0.1,degree_centrality,powerlaw_cluster_4_0.7,0.01
16,2.8365145447348388,147.3211306123634,"normal_[0, 1]",822.5,89.0962354734422,100,0.17,degree_centrality,powerlaw_cluster_4_0.7,0.01
17,2.5741118884566427,136.06168292378277,"normal_[0, 1]",1253.5,68.37726975000932,100,0.27,degree_centrality,powerlaw_cluster_4_0.7,0.01
18,2.4327486109850733,140.30714284227443,"normal_[0, 1]",1142.0,104.10112611440569,100,0.24,degree_centrality,powerlaw_cluster_4_0.7,0.01
