,comp_produced_prod_mean,price_produced_prod_mean,prod_sp_val_dist,output_all_prdcts,price_produced_prod_std,share_produced_products,prod_sp_val_alct,prod_space_struc
0,3.7040883722949935,155.9995172406764,"normal_[0, 1]",346.0,127.17721695931758,0.07,Closeness,BA_4
1,4.554137640975912,72.54576036770482,"normal_[0, 1]",342.0,74.65948471187036,0.06,Closeness,BA_4
2,4.499105245514839,115.9899183482608,"normal_[0, 1]",268.5,144.25777041071262,0.05,Closeness,BA_4
3,3.753019512184688,208.28549635135016,"normal_[0, 1]",405.0,169.86105035410475,0.09,Closeness,BA_4
4,4.297258486380529,99.85908701207336,"normal_[0, 1]",646.0,81.35613841139667,0.11,Closeness,BA_4
5,3.4875337382867584,140.02916419832866,"normal_[0, 1]",527.5,126.9395335328337,0.1,Closeness,BA_4
6,4.019736482220291,123.68416145439623,"normal_[0, 1]",238.5,140.2872643799513,0.05,Closeness,BA_4
7,3.3982685181272223,23.876172378621835,"normal_[0, 1]",310.0,17.01440629577176,0.05,Closeness,BA_4
8,3.720011372461269,143.60768998236887,"normal_[0, 1]",309.0,151.9424762458987,0.07,Closeness,BA_4
9,4.5600621983876755,94.05360253113508,"normal_[0, 1]",331.0,75.8284211170782,0.06,Closeness,BA_4
10,4.445516992759272,61.1599741519928,"normal_[0, 1]",209.0,79.66133799091092,0.04,Closeness,BA_4
11,3.3563969183884543,84.17437679865228,"normal_[0, 1]",427.0,71.91279961303334,0.08,Closeness,BA_4
12,3.195507685856402,203.1643444134846,"normal_[0, 1]",281.0,216.40183113636883,0.07,Closeness,BA_4
13,3.7117828460843034,148.8540077060035,"normal_[0, 1]",471.5,135.2861877083514,0.1,Closeness,BA_4
14,4.233824119328847,290.1376624306686,"normal_[0, 1]",268.0,168.2820877774137,0.07,Closeness,BA_4
15,4.504468961995753,118.5350320958206,"normal_[0, 1]",316.5,135.02366483725632,0.06,Closeness,BA_4
16,3.8400225357223268,182.8059832099033,"normal_[0, 1]",410.0,108.55187101770441,0.09,Closeness,BA_4
17,3.263014370291832,85.11573335156781,"normal_[0, 1]",437.5,78.66695681245025,0.08,Closeness,BA_4
18,3.8559252916221385,65.42779120990666,"normal_[0, 1]",326.5,75.39578410841796,0.06,Closeness,BA_4
19,4.409822130378927,109.6452891372346,"normal_[0, 1]",456.0,89.5226764264164,0.08,Closeness,BA_4
20,3.8801361738248463,117.74779589269629,"normal_[0, 1]",276.5,139.2832377084893,0.05,Closeness,BA_4
21,4.077278453811116,9.257938997189775,"normal_[0, 1]",99.0,3.0607443654124857,0.02,Closeness,BA_4
22,2.9632058585644785,152.02821068392848,"normal_[0, 1]",425.5,125.51760997681964,0.09,Closeness,BA_4
23,3.8680876817307737,192.71171064831168,"normal_[0, 1]",304.5,158.2800047719297,0.07,Closeness,BA_4
24,3.543748008021756,124.12744458159024,"normal_[0, 1]",239.5,120.95866886159334,0.05,Closeness,BA_4
25,3.7737164515999857,185.4471022887744,"normal_[0, 1]",453.4544235052192,136.8016094379497,0.1,Closeness,BA_4
26,3.5622926695508434,253.2764056782896,"normal_[0, 1]",353.0,145.32786258346496,0.09,Closeness,BA_4
27,4.657277325170319,73.48364583966924,"normal_[0, 1]",464.0,69.33320783108651,0.08,Closeness,BA_4
28,4.6076134637870725,174.1361723317557,"normal_[0, 1]",408.0,157.47412652810283,0.08,Closeness,BA_4
29,3.5206764799626216,46.07033774372436,"normal_[0, 1]",381.5,41.18021743403719,0.07,Closeness,BA_4
30,3.9545473099891035,167.64013033565578,"normal_[0, 1]",503.0,120.68236957470772,0.1,Closeness,BA_4
31,4.576228535725887,98.85492991089123,"normal_[0, 1]",278.5,154.94031145968995,0.05,Closeness,BA_4
32,4.210826771720367,188.9310948817826,"normal_[0, 1]",413.5,176.5561743884621,0.08,Closeness,BA_4
33,4.221988574103468,86.86877133999269,"normal_[0, 1]",390.0,72.63288267889135,0.07,Closeness,BA_4
34,3.540470344497397,87.31477500518456,"normal_[0, 1]",377.0,74.22250259183024,0.07,Closeness,BA_4
35,2.7395833393547435,91.69419813448955,"normal_[0, 1]",230.0,168.55043983971623,0.05,Closeness,BA_4
36,4.639586321803958,30.858218312516225,"normal_[0, 1]",181.0,29.09896103797435,0.03,Closeness,BA_4
37,4.3279754711510785,83.86598207407687,"normal_[0, 1]",343.0,76.81295366775802,0.06,Closeness,BA_4
38,4.750867340459979,44.8261747771117,"normal_[0, 1]",304.0,38.3555216575982,0.05,Closeness,BA_4
39,4.746636919244517,87.90063912054329,"normal_[0, 1]",296.0,95.07041082717122,0.05,Closeness,BA_4
40,4.833770555825407,176.9469851655819,"normal_[0, 1]",234.5,169.19502602303172,0.05,Closeness,BA_4
41,3.3815461502583566,120.99601124165756,"normal_[0, 1]",322.5,146.74450269811928,0.06,Closeness,BA_4
