,comp_produced_prod_mean,price_produced_prod_mean,output_all_prdcts,price_produced_prod_std,share_produced_products,prod_space_struc
0,4.972546922946023,192.48881537899243,445.7496733944569,198.81543282065527,0.09,Barabasi-Albert
1,4.145385577545266,229.2832948477351,290.5,166.43752407358025,0.07,Barabasi-Albert
2,4.7768742553238255,155.07928716984887,427.5,147.70718518050856,0.08,Barabasi-Albert
3,3.8377086252751376,119.0415906464242,307.5,126.63026417871357,0.06,Barabasi-Albert
4,4.654412841900121,175.97391864037343,291.5,147.87197553706977,0.06,Barabasi-Albert
5,4.843060539860597,226.59330185549786,224.0,213.26658206071951,0.05,Barabasi-Albert
6,4.822261062564809,168.2167401150759,318.0,198.0098682799313,0.06,Barabasi-Albert
7,3.308238463016895,96.3907798012094,500.0,79.68435854996615,0.09,Barabasi-Albert
8,2.859557261755111,100.8519844599733,433.0,124.90726918345436,0.08,Barabasi-Albert
9,3.5767903784061836,98.70477591889237,391.5,99.0289788910397,0.07,Barabasi-Albert
10,4.025084423665122,146.4079333183908,518.6978944888366,145.51778202038682,0.1,Barabasi-Albert
11,3.54760252163033,198.5343347058601,510.5,173.47006811241485,0.11,Barabasi-Albert
12,3.999922509138459,193.5154246535693,166.0,184.29748946404152,0.04,Barabasi-Albert
13,4.156860516462428,202.602731243291,269.0,217.39219677653125,0.06,Barabasi-Albert
14,4.313621108722183,211.3708123266144,250.0,185.1336112717994,0.05,Barabasi-Albert
15,4.088199812348395,205.58613111521996,201.0,196.63021134232412,0.04,Barabasi-Albert
16,3.5644422368958733,97.84567298993478,439.0,100.54079306361984,0.08,Barabasi-Albert
17,3.8114825487230033,85.11381706020288,537.0,77.6318799278733,0.09,Barabasi-Albert
18,4.170398168410402,52.72511226963475,282.0,46.53348208602023,0.05,Barabasi-Albert
19,3.720650672859677,285.3573290947097,359.0,189.86983361182132,0.09,Barabasi-Albert
20,3.9933461731485282,93.34247197636287,395.0,73.3527819709343,0.07,Barabasi-Albert
21,4.188186723625492,330.2029331270095,184.0,166.10522834030468,0.05,Barabasi-Albert
22,3.620381565387445,85.09856687588106,410.45929276315786,111.43034766156164,0.08,Barabasi-Albert
23,5.0073702236384445,373.22293312143927,319.0,209.8918535972384,0.08,Barabasi-Albert
24,3.9179869458537615,176.14260143359445,375.4999949063083,164.8616188885663,0.08,Barabasi-Albert
25,3.6003388450905764,13.972866584556133,227.0,8.208163496798472,0.04,Barabasi-Albert
26,3.6614004454972218,176.44238696075791,578.5,149.86044318351392,0.12,Barabasi-Albert
27,4.3517603142099714,155.61192950529733,484.0,162.56935558805168,0.09,Barabasi-Albert
28,4.045423342115821,176.28358759285663,426.0,173.1361550061608,0.08,Barabasi-Albert
29,3.4829463860941026,63.93720820418349,391.0,51.34788244152873,0.07,Barabasi-Albert
30,3.9961756251074574,174.11738589678637,512.0,173.96183882383633,0.1,Barabasi-Albert
31,4.573175421312013,112.9622222102978,386.57205,146.3709443817816,0.07,Barabasi-Albert
32,3.3660883761224683,54.160158443918114,452.5,50.029417597368344,0.08,Barabasi-Albert
33,4.2471408691564765,88.9268171738817,347.5,137.85292980325667,0.06,Barabasi-Albert
34,3.947238900251747,114.88776976481907,366.5,153.11281773502145,0.07,Barabasi-Albert
35,4.211661972452581,83.75227158116779,179.0,100.13689088823921,0.04,Barabasi-Albert
36,3.6285588427464903,82.74626477949549,414.5,128.218425737568,0.07,Barabasi-Albert
37,3.3721279737855614,84.37166348518072,497.0,64.60630820083304,0.09,Barabasi-Albert
38,3.7201431020434423,55.32434884102247,352.0,58.660547312185656,0.06,Barabasi-Albert
39,3.57057730988782,156.4240871763163,315.5,156.00923351964872,0.07,Barabasi-Albert
40,5.013757510625116,167.22259443167104,316.5,176.59635867336064,0.06,Barabasi-Albert
41,4.412066455766858,43.73679864763349,226.0,50.511060936382535,0.04,Barabasi-Albert
42,4.1759221820088674,94.60166312503534,379.0,84.05012027717693,0.07,Barabasi-Albert
43,4.201472701167642,62.3647486169682,302.0,49.76611150379864,0.05,Barabasi-Albert
44,4.015803612265492,74.18233964269577,338.0,74.89318479010403,0.06,Barabasi-Albert
45,4.432441703541351,144.9655911140623,396.9545906090409,135.73587904087657,0.08,Barabasi-Albert
46,4.126303428156226,108.09777250690918,323.5,116.66402836877856,0.06,Barabasi-Albert
47,4.884501918110356,209.86887249005161,313.5,262.6460760644303,0.06,Barabasi-Albert
48,4.508674948020016,255.36266516423998,337.5,158.75699472504039,0.08,Barabasi-Albert
49,3.7706100962918585,194.9732288288163,514.5,164.41509265563866,0.11,Barabasi-Albert
50,2.2937173015369137,205.81831407584903,1102.0,116.11849070107237,0.27,Complete
51,2.04684297589002,166.53253543642663,1437.4350727724545,125.48228506462807,0.33,Complete
52,2.544924491111846,191.90996863638833,1822.0,149.02869350489556,0.39,Complete
53,2.7186519892770598,224.1175209176104,1601.0729566631414,162.53893917196345,0.37,Complete
54,2.0969685473971587,186.04170621551705,2141.0,112.2393731432535,0.51,Complete
55,2.7806380640617263,238.33983057335263,1561.0,152.0054154200373,0.37,Complete
56,2.7900597886602307,222.4952036220225,1210.5,154.68186603728532,0.28,Complete
57,2.5729389220452443,225.1434639708605,1951.0,151.12600448914586,0.45,Complete
58,3.4566591452826727,235.96453622556737,1405.0,171.41688421784667,0.3,Complete
59,1.9000745824097331,170.53677952614512,2393.5,121.21515218667568,0.57,Complete
60,2.154340883686214,173.9807525770723,1745.5,128.1902174319498,0.4,Complete
61,1.7422823233806064,145.340369060264,1899.0,120.0633358110482,0.43,Complete
62,2.8290604641230424,254.65978749706292,2007.8793343544605,134.58840502304986,0.49,Complete
63,2.6106505166025284,207.60867606631592,2039.5,146.53887714297204,0.46,Complete
64,2.089205089018704,183.6657865143333,1805.9287396740265,112.02007804165251,0.43,Complete
65,1.9896462906380128,184.34592776133584,1994.0,131.54478642663386,0.48,Complete
66,2.115687029140117,169.37314875994983,1545.0,131.69370067005585,0.35,Complete
67,2.8703055419351284,182.98134879157246,1709.0,159.5106555678796,0.35,Complete
68,2.762813695851191,204.40183546641043,1843.5,142.23363689316938,0.41,Complete
69,2.3468119462882493,179.84154546354748,1718.5,119.1826376251155,0.38,Complete
70,2.5835094724446086,190.85709969640143,1279.5,160.82777198751282,0.28,Complete
71,2.254125754715176,195.2357784516967,2120.0,117.64110500840972,0.5,Complete
72,2.8913296096468346,225.12102439649442,1458.2069010477676,168.65585801105948,0.32,Complete
73,2.458494037580901,193.6748912731336,1718.0,136.83363573764902,0.38,Complete
74,2.632628220954419,206.1039980606297,1780.0,159.74762855858532,0.39,Complete
75,2.616077399532481,206.56681665933,1114.5,154.7254708523292,0.26,Complete
