,comp_produced_prod_mean,price_produced_prod_mean,prod_sp_val_dist,output_all_prdcts,price_produced_prod_std,delta_coefficient,share_produced_products,prod_sp_val_alct,prod_space_struc,max_info,nominal_demand
0,3.9455134605992312,117.41850081714216,"normal_[0, 1]",116.0,75.09457496644896,100,0.08,degree_centrality,BA_4,0.85,25
1,3.451930129674201,139.6450079154496,"normal_[0, 1]",316.01176784835013,122.8005341359449,100,0.19,degree_centrality,BA_4,0.85,25
2,4.304240195239578,288.07175356849746,"normal_[0, 1]",135.0,169.78584336367462,100,0.1,degree_centrality,BA_4,0.85,25
3,2.5429322846829105,106.44690651165844,"normal_[0, 1]",56.5,121.08148282258179,100,0.04,degree_centrality,BA_4,0.85,25
4,4.1817891963647185,157.20785302522998,"normal_[0, 1]",96.0,164.4068594484766,100,0.06,degree_centrality,BA_4,0.85,25
5,4.84798261568362,195.01254908674198,"normal_[0, 1]",87.5,177.48819085066597,100,0.06,degree_centrality,BA_4,0.85,25
6,4.052635080759357,57.40386671245289,"normal_[0, 1]",85.0,52.86899893563118,100,0.06,degree_centrality,BA_4,0.85,25
7,4.0507434555534845,188.51046041719133,"normal_[0, 1]",153.5,142.90649677315312,100,0.11,degree_centrality,BA_4,0.85,25
8,4.527984208930295,83.53907540535073,"normal_[0, 1]",137.0,77.16341805646357,100,0.09,degree_centrality,BA_4,0.85,25
9,2.0489305016225057,55.39834971677474,"normal_[0, 1]",196.0,91.2821097990649,100,0.12,degree_centrality,BA_4,0.85,25
10,5.583883764187454,176.92600386889225,"normal_[0, 1]",56.0,136.45168286931073,100,0.05,degree_centrality,BA_4,0.85,25
11,3.5978164401463024,91.84328096518331,"normal_[0, 1]",88.0,111.58958622511837,100,0.08,degree_centrality,BA_4,0.85,25
12,4.126700853036064,125.16557721125456,"normal_[0, 1]",91.5,121.83684094097391,100,0.07,degree_centrality,BA_4,0.85,25
13,4.541455514091262,133.82032572756634,"normal_[0, 1]",82.5,141.8437155659811,100,0.06,degree_centrality,BA_4,0.85,25
14,3.883669155839396,159.20687383575776,"normal_[0, 1]",64.0,192.7455256571648,100,0.06,degree_centrality,BA_4,0.85,25
15,4.113888252826873,91.4857623269015,"normal_[0, 1]",60.0,85.08977951096604,100,0.05,degree_centrality,BA_4,0.85,25
16,3.8733578386440666,158.97741188342334,"normal_[0, 1]",175.5,123.95587394422516,100,0.12,degree_centrality,BA_4,0.85,25
17,3.731578675007765,147.77368460989274,"normal_[0, 1]",144.56992250000005,155.20101524686484,100,0.1,degree_centrality,BA_4,0.85,25
18,4.279547471145182,116.43886065907554,"normal_[0, 1]",149.5,117.4627967865416,100,0.1,degree_centrality,BA_4,0.85,25
19,4.111250340919657,267.51106911746405,"normal_[0, 1]",153.0,172.1026591434452,100,0.11,degree_centrality,BA_4,0.85,25
20,1.465099693230374,7.0654232803426185,"normal_[0, 1]",41.0,5.130213571904796,100,0.03,degree_centrality,BA_4,0.85,25
21,3.5826452539451656,87.23098787585343,"normal_[0, 1]",115.0,91.1799985503702,100,0.08,degree_centrality,BA_4,0.85,25
22,3.946094556600504,93.09495674719022,"normal_[0, 1]",138.5,87.7063608178373,100,0.09,degree_centrality,BA_4,0.85,25
23,3.705277949177177,177.35839475233539,"normal_[0, 1]",164.0,158.4076382403363,100,0.12,degree_centrality,BA_4,0.85,25
24,4.338619773576694,214.25154341034198,"normal_[0, 1]",129.5,190.12603495962705,100,0.1,degree_centrality,BA_4,0.85,25
25,3.9646659028597093,31.71762414414743,"normal_[0, 1]",94.0,20.535546669679288,100,0.06,degree_centrality,BA_4,0.85,25
26,3.5083281176953838,199.36949532895645,"normal_[0, 1]",160.0,123.77741017963244,100,0.11,degree_centrality,BA_4,0.85,25
27,4.2778289498554765,142.5789187478574,"normal_[0, 1]",106.5,148.68341844416653,100,0.08,degree_centrality,BA_4,0.85,25
28,3.959022663321816,105.30552876865124,"normal_[0, 1]",157.0,75.81197436935992,100,0.1,degree_centrality,BA_4,0.85,25
29,3.7743236519314016,40.63900073119845,"normal_[0, 1]",130.0,29.145406124967213,100,0.08,degree_centrality,BA_4,0.85,25
30,3.2283154963673333,77.5807584573165,"normal_[0, 1]",72.0,76.07123854483098,100,0.05,degree_centrality,BA_4,0.85,25
31,3.9338089469679054,264.65865700738027,"normal_[0, 1]",121.5,178.83911234878713,100,0.09,degree_centrality,BA_4,0.85,25
32,4.64434090132064,166.6990296116721,"normal_[0, 1]",81.5,148.04087663940942,100,0.07,degree_centrality,BA_4,0.85,25
33,4.673464994220146,108.29558857260794,"normal_[0, 1]",94.5,132.41218252437278,100,0.07,degree_centrality,BA_4,0.85,25
34,2.9626453814933957,108.48274276132335,"normal_[0, 1]",275.0,102.70740114520041,100,0.17,degree_centrality,BA_4,0.85,25
35,2.8807270123839803,69.85122170736945,"normal_[0, 1]",188.0,95.03475969170955,100,0.11,degree_centrality,BA_4,0.85,25
36,4.309373072696177,181.74897444842296,"normal_[0, 1]",169.5,144.0207095677314,100,0.12,degree_centrality,BA_4,0.85,25
37,5.299358539884385,302.3250089780691,"normal_[0, 1]",49.0,210.19521072460327,100,0.04,degree_centrality,BA_4,0.85,25
38,2.767397350917582,124.83440265031328,"normal_[0, 1]",200.5,131.2938543044427,100,0.13,degree_centrality,BA_4,0.85,25
39,4.303347519888013,222.6193813301984,"normal_[0, 1]",159.0,177.24272404592872,100,0.11,degree_centrality,BA_4,0.85,25
40,4.15247899920875,186.4884084892072,"normal_[0, 1]",47.5,136.64511416854776,100,0.04,degree_centrality,BA_4,0.85,25
