,comp_produced_prod_mean,price_produced_prod_mean,prod_sp_val_dist,output_all_prdcts,price_produced_prod_std,delta_coefficient,share_produced_products,prod_sp_val_alct,prod_space_struc,max_info,nominal_demand
0,2.482876204244445,159.19855524187338,"normal_[0, 1]",824.0,98.24536433164049,100,0.18,degree_centrality,BA_4,0.01,75
1,1.211898562326113,41.99191232604999,"normal_[0, 1]",363.5,92.3919085524714,100,0.07,degree_centrality,BA_4,0.01,75
2,1.3343767249521208,2.61698959678045,"normal_[0, 1]",122.0,1.5320014903339398,100,0.03,degree_centrality,BA_4,0.01,75
3,2.8794759851471303,163.12573026866158,"normal_[0, 1]",796.5,77.79296489276287,100,0.18,degree_centrality,BA_4,0.01,75
4,2.6021634526165114,123.23305333296685,"normal_[0, 1]",1037.5,85.73822648210489,100,0.21,degree_centrality,BA_4,0.01,75
5,3.114405444164868,160.1967381398999,"normal_[0, 1]",745.5,94.32382825948116,100,0.16,degree_centrality,BA_4,0.01,75
6,2.8007345341669034,220.51622006857247,"normal_[0, 1]",395.5,123.4403262180813,100,0.1,degree_centrality,BA_4,0.01,75
7,2.8038857464865243,203.33829607781928,"normal_[0, 1]",598.0,144.67651655208226,100,0.13,degree_centrality,BA_4,0.01,75
8,3.106153311452018,208.33941394401657,"normal_[0, 1]",666.0,119.50774259145071,100,0.15,degree_centrality,BA_4,0.01,75
9,3.096097282754384,159.9619821820942,"normal_[0, 1]",948.5,78.53261158799997,100,0.2,degree_centrality,BA_4,0.01,75
10,4.063983873282616,303.52443627557653,"normal_[0, 1]",258.5,169.19392331545308,100,0.07,degree_centrality,BA_4,0.01,75
11,2.8921917405133235,184.2910025929714,"normal_[0, 1]",845.0,93.00109558400032,100,0.19,degree_centrality,BA_4,0.01,75
12,2.630829250257101,165.72360360003762,"normal_[0, 1]",773.0,103.45467122884872,100,0.17,degree_centrality,BA_4,0.01,75
13,2.205541289558462,123.21585819775015,"normal_[0, 1]",566.0,113.07705775289908,100,0.12,degree_centrality,BA_4,0.01,75
14,2.438892013638418,115.97199106317852,"normal_[0, 1]",845.5,46.69388653777082,100,0.18,degree_centrality,BA_4,0.01,75
15,4.061655151484795,222.88637957030502,"normal_[0, 1]",420.0,105.47083150554529,100,0.1,degree_centrality,BA_4,0.01,75
16,2.6264184128776185,96.71905052658772,"normal_[0, 1]",349.0,100.19504480573283,100,0.07,degree_centrality,BA_4,0.01,75
17,2.8029968062628647,171.47286334667606,"normal_[0, 1]",961.5,115.70037755661785,100,0.21,degree_centrality,BA_4,0.01,75
18,3.2157885263526884,186.3695679895144,"normal_[0, 1]",1071.0,129.85502080369722,100,0.23,degree_centrality,BA_4,0.01,75
19,2.8464759129269623,141.6145267373854,"normal_[0, 1]",876.0,82.28253097967159,100,0.18,degree_centrality,BA_4,0.01,75
20,2.1087016031936865,119.51973442584078,"normal_[0, 1]",1447.5,74.04022136434419,100,0.31,degree_centrality,BA_4,0.01,75
21,2.354822549001891,108.72685508662344,"normal_[0, 1]",1080.5,85.3756889215953,100,0.22,degree_centrality,BA_4,0.01,75
22,3.104370733375444,252.62278007098897,"normal_[0, 1]",820.0,122.34804892067459,100,0.19,degree_centrality,BA_4,0.01,75
23,3.2814541773319603,160.95230203069804,"normal_[0, 1]",277.0,123.80973542221106,100,0.07,degree_centrality,BA_4,0.01,75
24,2.1379705460791807,96.5435773668116,"normal_[0, 1]",1594.0,60.4157708133123,100,0.32,degree_centrality,BA_4,0.01,75
25,1.7935884918873577,73.03473167812116,"normal_[0, 1]",506.0,101.0091787687207,100,0.1,degree_centrality,BA_4,0.01,75
26,2.6853743065450826,149.81835927083756,"normal_[0, 1]",881.5,86.70260815117132,100,0.19,degree_centrality,BA_4,0.01,75
27,2.917540306241892,168.78625953824428,"normal_[0, 1]",803.5,127.44661547644054,100,0.17,degree_centrality,BA_4,0.01,75
28,2.630488616993888,98.31594310896395,"normal_[0, 1]",441.5,73.76147021430981,100,0.09,degree_centrality,BA_4,0.01,75
29,2.5768383240336448,140.52097637402787,"normal_[0, 1]",825.0,72.62985438209435,100,0.17,degree_centrality,BA_4,0.01,75
30,2.885000288545483,180.99146808268029,"normal_[0, 1]",942.0,86.23583440244694,100,0.21,degree_centrality,BA_4,0.01,75
31,4.281927235066739,148.49542224578985,"normal_[0, 1]",214.0,74.4329327012627,100,0.05,degree_centrality,BA_4,0.01,75
32,3.0261386439733795,198.46033777585976,"normal_[0, 1]",887.0,97.7871540719746,100,0.2,degree_centrality,BA_4,0.01,75
33,3.2108395685679683,205.20348331729667,"normal_[0, 1]",742.5,101.81685067217684,100,0.17,degree_centrality,BA_4,0.01,75
34,3.3813096810598777,185.64205442419657,"normal_[0, 1]",949.0,85.00161668013872,100,0.21,degree_centrality,BA_4,0.01,75
35,3.881512313683999,218.78132431654242,"normal_[0, 1]",274.5,126.07303330418364,100,0.07,degree_centrality,BA_4,0.01,75
36,2.443798269481979,76.80367776732626,"normal_[0, 1]",477.5,46.95373653691964,100,0.1,degree_centrality,BA_4,0.01,75
37,2.649762820012896,127.54938243276665,"normal_[0, 1]",306.0,117.89716466888727,100,0.07,degree_centrality,BA_4,0.01,75
38,3.110677282033893,179.92624996441958,"normal_[0, 1]",946.5,121.04004066075619,100,0.2,degree_centrality,BA_4,0.01,75
39,2.6104389957363368,155.2359654549061,"normal_[0, 1]",627.5,81.90897248595225,100,0.15,degree_centrality,BA_4,0.01,75
40,4.49121234007859,72.91218017373754,"normal_[0, 1]",153.0,75.48187121114799,100,0.03,degree_centrality,BA_4,0.01,75
